Species,state
Cephalorhynchus_commersonii,0
Cephalorhynchus_heavisidii,0
Cephalorhynchus_hectori,0
Delphinus_delphis,0
Feresa_attenuata,0
Inia_geoffrensis,0
Kogia_breviceps,0
Kogia_simus,0
Lagenodelphis_hosei,0
Lagenorhynchus_acutus,0
Lagenorhynchus_albirostris,0
Lagenorhynchus_australis,0
Lagenorhynchus_cruciger,0
Lagenorhynchus_obliquidens,0
Lagenorhynchus_obscurus,0
Lissodelphis_borealis,0
Lissodelphis_peronii,0
Neophocaena_phocaenoides,0
Orcaella_brevirostris,0
Peponocephala_electra,0
Phocoena_phocoena,0
Phocoena_sinus,0
Phocoena_spinipinnis,0
Phocoenoides_dalli,0
Platanista_gangetica,0
Platanista_minor,0
Pontoporia_blainvillei,0
Sotalia_fluviatilis,0
Sousa_chinensis,0
Stenella_attenuata,0
Stenella_clymene,0
Stenella_coeruleoalba,0
Stenella_frontalis,0
Stenella_longirostris,0
Steno_bredanensis,0
Tursiops_truncatus,0
Balaena_mysticetus,1
Balaenoptera_acutorostrata,1
Balaenoptera_borealis,1
Balaenoptera_brydei,1
Balaenoptera_edeni,1
Balaenoptera_musculus,1
Balaenoptera_omurai,1
Balaenoptera_physalus,1
Berardius_arnuxii,1
Berardius_bairdii,1
Caperea_marginata,1
Delphinapterus_leucas,1
Eschrichtius_robustus,1
Eubalaena_australis,1
Eubalaena_glacialis,1
Globicephala_macrorhynchus,1
Globicephala_melas,1
Grampus_griseus,1
Hyperoodon_ampullatus,1
Hyperoodon_planifrons,1
Indopacetus_pacificus,1
Lipotes_vexillifer,1
Megaptera_novaeangliae,1
Mesoplodon_bidens,1
Mesoplodon_bowdoini,1
Mesoplodon_carlhubbsi,1
Mesoplodon_densirostris,1
Mesoplodon_europaeus,1
Mesoplodon_ginkgodens,1
Mesoplodon_grayi,1
Mesoplodon_hectori,1
Mesoplodon_layardii,1
Mesoplodon_mirus,1
Mesoplodon_peruvianus,1
Mesoplodon_stejnegeri,1
Monodon_monoceros,1
Orcinus_orca,1
Physeter_catodon,1
Pseudorca_crassidens,1
Tasmacetus_shepherdi,1
Ziphius_cavirostris,1
Balaenoptera_bonaerensis,2
Cephalorhynchus_eutropia,2
Delphinus_capensis,2
Delphinus_tropicalis,2
Eubalaena_japonica,2
Mesoplodon_perrini,2
Mesoplodon_traversii,2
Phocoena_dioptrica,2
Sotalia_guianensis,2
Tursiops_aduncus,2
